Region,Good,Material,value
JPN,Transportation,PP,0.194395215
USA,Transportation,PP,0.167365453
LAM,Transportation,PS,0
OAS,Transportation,PS,0
SSA,Transportation,PS,0
EUR,Transportation,PS,0
NEU,Transportation,PS,0
MEA,Transportation,PS,0
REF,Transportation,PS,0
CAZ,Transportation,PS,0
CHA,Transportation,PS,0
IND,Transportation,PS,0
JPN,Transportation,PS,0
USA,Transportation,PS,0
LAM,Transportation,PUR,0.054924375
OAS,Transportation,PUR,0.053882795
SSA,Transportation,PUR,0.062800757
EUR,Transportation,PUR,0.055761653
NEU,Transportation,PUR,0.055794783
MEA,Transportation,PUR,0.054242625
REF,Transportation,PUR,0.054644036
CAZ,Transportation,PUR,0.054426291
CHA,Transportation,PUR,0.055362415
IND,Transportation,PUR,0.055154506
JPN,Transportation,PUR,0.062776673
USA,Transportation,PUR,0.054048275
LAM,Transportation,LDPE,0.008306371
OAS,Transportation,LDPE,0.008096002
SSA,Transportation,LDPE,0.009416099
EUR,Transportation,LDPE,0.008377451
NEU,Transportation,LDPE,0.00832951
MEA,Transportation,LDPE,0.00809837
REF,Transportation,LDPE,0.008171098
CAZ,Transportation,LDPE,0.008109094
CHA,Transportation,LDPE,0.008369486
IND,Transportation,LDPE,0.00832273
JPN,Transportation,LDPE,0.009443548
USA,Transportation,LDPE,0.008051588
LAM,Transportation,PVC,0.023393426
OAS,Transportation,PVC,0.022949969
SSA,Transportation,PVC,0.026748046
EUR,Transportation,PVC,0.023750174
NEU,Transportation,PVC,0.023764382
MEA,Transportation,PVC,0.023103386
REF,Transportation,PVC,0.023274229
CAZ,Transportation,PVC,0.023180934
CHA,Transportation,PVC,0.023580151
IND,Transportation,PVC,0.023491653
JPN,Transportation,PVC,0.026737944
USA,Transportation,PVC,0.023020442
LAM,Textile sector,ABS_ASA_SAN,0
OAS,Textile sector,ABS_ASA_SAN,0
SSA,Textile sector,ABS_ASA_SAN,0
EUR,Textile sector,ABS_ASA_SAN,0
NEU,Textile sector,ABS_ASA_SAN,0
MEA,Textile sector,ABS_ASA_SAN,0
REF,Textile sector,ABS_ASA_SAN,0
CAZ,Textile sector,ABS_ASA_SAN,0
CHA,Textile sector,ABS_ASA_SAN,0
IND,Textile sector,ABS_ASA_SAN,0
JPN,Textile sector,ABS_ASA_SAN,0
USA,Textile sector,ABS_ASA_SAN,0
LAM,Textile sector,BioPlastics,0.004412111
OAS,Textile sector,BioPlastics,0.006524048
SSA,Textile sector,BioPlastics,0.003058238
EUR,Textile sector,BioPlastics,0.004364274
NEU,Textile sector,BioPlastics,0.004483027
MEA,Textile sector,BioPlastics,0.005460045
REF,Textile sector,BioPlastics,0.006170318
CAZ,Textile sector,BioPlastics,0.006218286
CHA,Textile sector,BioPlastics,0.005696961
IND,Textile sector,BioPlastics,0.007406983
JPN,Textile sector,BioPlastics,0.005804175
USA,Textile sector,BioPlastics,0.005785576
LAM,Textile sector,Fibres,0.995587889
