Time,Region,Good,value
1990,LAM,Transportation,0.74096685
1990,OAS,Transportation,0.959998
1990,SSA,Transportation,0.17945269
1990,EUR,Transportation,3.17967199
1990,NEU,Transportation,0.84098898
1990,MEA,Transportation,0.73347664
1990,REF,Transportation,1.37643848
1990,CAZ,Transportation,0.68715588
1990,CHA,Transportation,0.49788165
1990,IND,Transportation,0.29384021
1990,JPN,Transportation,0.25763833
1990,USA,Transportation,4.35523442
1991,LAM,Transportation,0.78027911
1991,OAS,Transportation,1.06894113
1991,SSA,Transportation,0.19380648
1991,EUR,Transportation,3.24144543
1991,NEU,Transportation,0.86465502
1991,MEA,Transportation,0.76627468
1991,REF,Transportation,1.44424044
1991,CAZ,Transportation,0.70863052
1991,CHA,Transportation,0.56529332
1991,IND,Transportation,0.33266809
1991,JPN,Transportation,0.26446847
1991,USA,Transportation,4.44351346
1992,LAM,Transportation,0.84217391
1992,OAS,Transportation,1.21211828
1992,SSA,Transportation,0.21413938
1992,EUR,Transportation,3.38529971
1992,NEU,Transportation,0.91464514
1992,MEA,Transportation,0.82080359
1992,REF,Transportation,1.54862317
1992,CAZ,Transportation,0.74914168
1992,CHA,Transportation,0.65306768
1992,IND,Transportation,0.38337476
1992,JPN,Transportation,0.27877675
1992,USA,Transportation,4.64654178
1993,LAM,Transportation,0.89010399
1993,OAS,Transportation,1.34480291
1993,SSA,Transportation,0.23147401
1993,EUR,Transportation,3.46110878
1993,NEU,Transportation,0.94800181
1993,MEA,Transportation,0.86091982
1993,REF,Transportation,1.62680275
1993,CAZ,Transportation,0.77563782
1993,CHA,Transportation,0.73425785
1993,IND,Transportation,0.43012702
1993,JPN,Transportation,0.28694201
1993,USA,Transportation,4.75770223
1994,LAM,Transportation,0.99109299
1994,OAS,Transportation,1.56828708
1994,SSA,Transportation,0.26400933
1994,EUR,Transportation,3.7304399
1994,NEU,Transportation,1.0335741
1994,MEA,Transportation,0.95014235
1994,REF,Transportation,1.79619353
1994,CAZ,Transportation,0.84619732
1994,CHA,Transportation,0.86517264
1994,IND,Transportation,0.50585229
1994,JPN,Transportation,0.31071068
1994,USA,Transportation,5.13192613
1995,LAM,Transportation,1.04379427
1995,OAS,Transportation,1.72218763
1995,SSA,Transportation,0.28404446
1995,EUR,Transportation,3.79916923
1995,NEU,Transportation,1.06835683
1995,MEA,Transportation,0.99275752
1995,REF,Transportation,1.87985961
1995,CAZ,Transportation,0.87333932
1995,CHA,Transportation,0.95987438
1995,IND,Transportation,0.56027983
1995,JPN,Transportation,0.31865778
1995,USA,Transportation,5.23550439
1996,LAM,Transportation,1.13496174
1996,OAS,Transportation,1.94233856
1996,SSA,Transportation,0.31543084
1996,EUR,Transportation,3.99614976
1996,NEU,Transportation,1.14017135
1996,MEA,Transportation,1.0705954
1996,REF,Transportation,2.02544928
1996,CAZ,Transportation,0.93073955
1996,CHA,Transportation,1.09516167
1996,IND,Transportation,0.6382781
1996,JPN,Transportation,0.33843398
1996,USA,Transportation,5.51397079
1997,LAM,Transportation,1.23604669
1997,OAS,Transportation,2.1907559
1997,SSA,Transportation,0.34778062
1997,EUR,Transportation,4.21143275
1997,NEU,Transportation,1.21307164
1997,MEA,Transportation,1.16155363
1997,REF,Transportation,2.19379502
1997,CAZ,Transportation,0.99364569
1997,CHA,Transportation,1.24716365
1997,IND,Transportation,0.72586659
1997,JPN,Transportation,0.35966889
1997,USA,Transportation,5.81585795
1998,LAM,Transportation,1.30999596
1998,OAS,Transportation,2.37334223
1998,SSA,Transportation,0.37537875
1998,EUR,Transportation,4.31842485
1998,NEU,Transportation,1.25807288
1998,MEA,Transportation,1.22197697
1998,REF,Transportation,2.30745558
1998,CAZ,Transportation,1.03244534
1998,CHA,Transportation,1.37790048
1998,IND,Transportation,0.80093798
1998,JPN,Transportation,0.37768004
1998,USA,Transportation,5.96888119
1999,LAM,Transportation,1.42765364
1999,OAS,Transportation,2.68910927
1999,SSA,Transportation,0.41652639
1999,EUR,Transportation,4.5509646
1999,NEU,Transportation,1.33539091
1999,MEA,Transportation,1.32163229
1999,REF,Transportation,2.51553921
1999,CAZ,Transportation,1.10331162
1999,CHA,Transportation,1.56116466
1999,IND,Transportation,0.90641469
1999,JPN,Transportation,0.39741567
1999,USA,Transportation,6.29848326
2000,LAM,Transportation,1.52252817
2000,OAS,Transportation,2.95753604
2000,SSA,Transportation,0.45121898
2000,EUR,Transportation,4.69119833
2000,NEU,Transportation,1.39067342
2000,MEA,Transportation,1.40022754
2000,REF,Transportation,2.67725583
2000,CAZ,Transportation,1.15391425
2000,CHA,Transportation,1.72665279
2000,IND,Transportation,1.00141379
2000,JPN,Transportation,0.41270182
2000,USA,Transportation,6.50282887
2001,LAM,Transportation,1.57997449
2001,OAS,Transportation,3.15433858
2001,SSA,Transportation,0.47545047
2001,EUR,Transportation,4.71029181
2001,NEU,Transportation,1.40230408
2001,MEA,Transportation,1.4434318
2001,REF,Transportation,2.77236889
2001,CAZ,Transportation,1.17448468
2001,CHA,Transportation,1.85418014
2001,IND,Transportation,1.07429002
2001,JPN,Transportation,0.41819469
2001,USA,Transportation,6.5319233
2002,LAM,Transportation,1.70281332
2002,OAS,Transportation,3.50186778
2002,SSA,Transportation,0.52071652
2002,EUR,Transportation,4.90615869
2002,NEU,Transportation,1.47444564
2002,MEA,Transportation,1.54412754
2002,REF,Transportation,2.97974736
2002,CAZ,Transportation,1.24168574
2002,CHA,Transportation,2.06378107
2002,IND,Transportation,1.19460353
2002,JPN,Transportation,0.43728411
2002,USA,Transportation,6.81289981
2003,LAM,Transportation,1.79618758
2003,OAS,Transportation,3.77407746
2003,SSA,Transportation,0.55693445
2003,EUR,Transportation,5.00209075
2003,NEU,Transportation,1.51295646
2003,MEA,Transportation,1.61850133
2003,REF,Transportation,3.13931085
2003,CAZ,Transportation,1.28497408
2003,CHA,Transportation,2.24419803
2003,IND,Transportation,1.29788507
2003,JPN,Transportation,0.45285526
2003,USA,Transportation,6.95353846
2004,LAM,Transportation,1.93451756
2004,OAS,Transportation,4.15501085
2004,SSA,Transportation,0.60932188
2004,EUR,Transportation,5.20064688
2004,NEU,Transportation,1.59230953
2004,MEA,Transportation,1.7295416
2004,REF,Transportation,3.37310313
2004,CAZ,Transportation,1.35790709
2004,CHA,Transportation,2.48759694
2004,IND,Transportation,1.43744127
2004,JPN,Transportation,0.47753014
2004,USA,Transportation,7.24471099
2005,LAM,Transportation,2.0140754
2005,OAS,Transportation,4.41517102
2005,SSA,Transportation,0.64357769
2005,EUR,Transportation,5.22701678
2005,NEU,Transportation,1.61714507
2005,MEA,Transportation,1.78762145
2005,REF,Transportation,3.50461383
2005,CAZ,Transportation,1.38730957
2005,CHA,Transportation,2.66150597
2005,IND,Transportation,1.53670614
2005,JPN,Transportation,0.48728224
2005,USA,Transportation,7.29484054
2006,LAM,Transportation,2.16748656
2006,OAS,Transportation,4.85218712
2006,SSA,Transportation,0.7018238
2006,EUR,Transportation,5.19397324
2006,NEU,Transportation,1.69527678
2006,MEA,Transportation,1.91080004
2006,REF,Transportation,3.76648349
2006,CAZ,Transportation,1.4652318
2006,CHA,Transportation,3.2419213
2006,IND,Transportation,1.69584753
2006,JPN,Transportation,0.51244619
2006,USA,Transportation,7.68526953
2007,LAM,Transportation,2.31655392
2007,OAS,Transportation,5.29334163
2007,SSA,Transportation,0.76014017
2007,EUR,Transportation,5.59788372
2007,NEU,Transportation,1.76330036
2007,MEA,Transportation,2.02781706
2007,REF,Transportation,4.01903274
2007,CAZ,Transportation,1.53705072
2007,CHA,Transportation,3.88430387
2007,IND,Transportation,1.85631225
2007,JPN,Transportation,0.53465136
2007,USA,Transportation,7.95200016
2008,LAM,Transportation,2.23379493
2008,OAS,Transportation,5.20573312
2008,SSA,Transportation,0.7429196
2008,EUR,Transportation,5.12653101
2008,NEU,Transportation,1.66920289
2008,MEA,Transportation,1.94085034
2008,REF,Transportation,3.85530617
2008,CAZ,Transportation,1.454882
2008,CHA,Transportation,4.2175431
2008,IND,Transportation,1.83120023
2008,JPN,Transportation,0.50315191
2008,USA,Transportation,7.55155629
2009,LAM,Transportation,2.31798441
2009,OAS,Transportation,5.51931226
2009,SSA,Transportation,0.78341272
2009,EUR,Transportation,4.7312613
2009,NEU,Transportation,1.71138607
2009,MEA,Transportation,1.99464222
2009,REF,Transportation,3.97999166
2009,CAZ,Transportation,1.48210473
2009,CHA,Transportation,4.87401099
2009,IND,Transportation,1.94187682
2009,JPN,Transportation,0.5063249
2009,USA,Transportation,7.62163644
2010,LAM,Transportation,2.51925588
2010,OAS,Transportation,6.18647673
2010,SSA,Transportation,0.86113893
2010,EUR,Transportation,4.86401098
2010,NEU,Transportation,1.83723959
2010,MEA,Transportation,2.17456479
2010,REF,Transportation,4.33324179
2010,CAZ,Transportation,1.59349832
2010,CHA,Transportation,5.50282767
2010,IND,Transportation,2.28868113
2010,JPN,Transportation,0.54213177
2010,USA,Transportation,7.41116126
2011,LAM,Transportation,2.62447528
2011,OAS,Transportation,6.64639358
2011,SSA,Transportation,0.910498
2011,EUR,Transportation,5.11627587
2011,NEU,Transportation,1.88632949
2011,MEA,Transportation,2.26608495
2011,REF,Transportation,4.5210099
2011,CAZ,Transportation,1.64213109
2011,CHA,Transportation,5.91489448
2011,IND,Transportation,2.56885218
2011,JPN,Transportation,0.55480858
2011,USA,Transportation,7.53396518
2012,LAM,Transportation,2.72722622
2012,OAS,Transportation,7.09657054
2012,SSA,Transportation,0.9673809
2012,EUR,Transportation,5.04371356
2012,NEU,Transportation,1.92680874
2012,MEA,Transportation,2.34167458
2012,REF,Transportation,4.70785097
2012,CAZ,Transportation,1.68787367
2012,CHA,Transportation,6.36880109
2012,IND,Transportation,2.86015472
2012,JPN,Transportation,0.57016578
2012,USA,Transportation,7.75196635
2013,LAM,Transportation,2.84746575
2013,OAS,Transportation,7.60740263
2013,SSA,Transportation,1.02118047
2013,EUR,Transportation,4.88223148
2013,NEU,Transportation,1.98582345
2013,MEA,Transportation,2.45159862
2013,REF,Transportation,4.91655112
2013,CAZ,Transportation,1.74302956
2013,CHA,Transportation,6.86390541
2013,IND,Transportation,3.18430684
2013,JPN,Transportation,0.58851363
2013,USA,Transportation,7.86141101
2014,LAM,Transportation,2.9017022
2014,OAS,Transportation,7.96553286
2014,SSA,Transportation,1.05056429
2014,EUR,Transportation,5.17614165
2014,NEU,Transportation,1.99431316
2014,MEA,Transportation,2.50753167
2014,REF,Transportation,5.01181277
2014,CAZ,Transportation,1.75668936
2014,CHA,Transportation,7.75528896
2014,IND,Transportation,3.44562441
2014,JPN,Transportation,0.59005057
2014,USA,Transportation,8.13168057
2015,LAM,Transportation,3.05868959
2015,OAS,Transportation,8.3275873
2015,SSA,Transportation,1.11845832
2015,EUR,Transportation,5.07157823
2015,NEU,Transportation,2.0424666
2015,MEA,Transportation,2.57791206
2015,REF,Transportation,5.21705262
2015,CAZ,Transportation,1.79282487
